"""","国・地方公共団体総数_事業所数","国・地方公共団体総数_従業者数","国・地方公共団体_        国_事業所数","国・地方公共団体_        国_従業者数","国・地方公共団体_        県_事業所数","国・地方公共団体_        県_従業者数","国・地方公共団体_      市町村_事業所数","国・地方公共団体_      市町村_従業者数","国・地方公共団体_      その他_事業所数","国・地方公共団体_      その他_従業者数"
"A～S_全産業","1929.0","41732.0","107.0","2784.0","378.0","11289.0","1367.0","24068.0","77.0","3591.0"
"A_農業，林業","6.0","47.0","6.0","47.0","-","-","-","-","-","-"
"01_農業","-","-","-","-","-","-","-","-","-","-"
"02_林業","6.0","47.0","6.0","47.0","-","-","-","-","-","-"
"","","","","","","","","","",""
"B_漁業","-","-","-","-","-","-","-","-","-","-"
"03_漁業（水産養殖業を除く）","-","-","-","-","-","-","-","-","-","-"
"04_水産養殖業","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","",""
"C_鉱業，採石業，砂利採取業","-","-","-","-","-","-","-","-","-","-"
"05_鉱業，採石業，砂利採取業","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","",""
"D_建設業","-","-","-","-","-","-","-","-","-","-"
"06_総合工事業","-","-","-","-","-","-","-","-","-","-"
"07_職別工事業（設備工事業を除く）","-","-","-","-","-","-","-","-","-","-"
"08_設備工事業","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","",""
"E_製造業","3.0","41.0","-","-","-","-","3.0","41.0","-","-"
"09_食料品製造業","-","-","-","-","-","-","-","-","-","-"
"10_飲料・たばこ・飼料製造業","-","-","-","-","-","-","-","-","-","-"
"11_繊維工業","2.0","30.0","-","-","-","-","2.0","30.0","-","-"
"12_木材・木製品製造業（家具を除く）","1.0","11.0","-","-","-","-","1.0","11.0","-","-"
"13_家具・装備品製造業","-","-","-","-","-","-","-","-","-","-"
"14_パルプ・紙・紙加工品製造業","-","-","-","-","-","-","-","-","-","-"
"15_印刷・同関連業","-","-","-","-","-","-","-","-","-","-"
"16_化学工業","-","-","-","-","-","-","-","-","-","-"
"17_石油製品・石炭製品製造業","-","-","-","-","-","-","-","-","-","-"
"18_プラスチック製品製造業（別掲を除く）","-","-","-","-","-","-","-","-","-","-"
"19_ゴム製品製造業","-","-","-","-","-","-","-","-","-","-"
"20_なめし革・同製品・毛皮製造業","-","-","-","-","-","-","-","-","-","-"
"21_窯業・土石製品製造業","-","-","-","-","-","-","-","-","-","-"
"22_鉄鋼業","-","-","-","-","-","-","-","-","-","-"
"23_非鉄金属製造業","-","-","-","-","-","-","-","-","-","-"
"24_金属製品製造業","-","-","-","-","-","-","-","-","-","-"
"25_はん用機械器具製造業","-","-","-","-","-","-","-","-","-","-"
"26_生産用機械器具製造業","-","-","-","-","-","-","-","-","-","-"
"27_業務用機械器具製造業","-","-","-","-","-","-","-","-","-","-"
"28_電子部品・デバイス・電子回路製造業","-","-","-","-","-","-","-","-","-","-"
"29_電気機械器具製造業","-","-","-","-","-","-","-","-","-","-"
"30_情報通信機械器具製造業","-","-","-","-","-","-","-","-","-","-"
"31_輸送用機械器具製造業","-","-","-","-","-","-","-","-","-","-"
"32_その他の製造業","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","",""
"F_電気・ガス・熱供給・水道業","53.0","690.0","-","-","2.0","22.0","51.0","668.0","-","-"
"33_電気業","-","-","-","-","-","-","-","-","-","-"
"34_ガス業","-","-","-","-","-","-","-","-","-","-"
"35_熱供給業","-","-","-","-","-","-","-","-","-","-"
"36_水道業","53.0","690.0","-","-","2.0","22.0","51.0","668.0","-","-"
"","","","","","","","","","",""
"G_情報通信業","-","-","-","-","-","-","-","-","-","-"
"37_通信業","-","-","-","-","-","-","-","-","-","-"
"38_放送業","-","-","-","-","-","-","-","-","-","-"
"39_情報サービス業","-","-","-","-","-","-","-","-","-","-"
"40_インターネット附随サービス業","-","-","-","-","-","-","-","-","-","-"
"41_映像・音声・文字情報制作業","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","",""
"H_運輸業，郵便業","8.0","53.0","1.0","4.0","2.0","42.0","5.0","7.0","-","-"
"42_鉄道業","-","-","-","-","-","-","-","-","-","-"
"43_道路旅客運送業","-","-","-","-","-","-","-","-","-","-"
"44_道路貨物運送業","-","-","-","-","-","-","-","-","-","-"
"45_水運業","-","-","-","-","-","-","-","-","-","-"
"46_航空運輸業","-","-","-","-","-","-","-","-","-","-"
"47_倉庫業","-","-","-","-","-","-","-","-","-","-"
"48_運輸に附帯するサービス業","8.0","53.0","1.0","4.0","2.0","42.0","5.0","7.0","-","-"
"49_郵便業（信書便事業を含む）","-","-","-","-","-","-","-","-","-","-"
